Ride,Date/Time,Wait Time
Millennium Falcon: Smugglers Run,2020-03-01 08:00:09,60
Millennium Falcon: Smugglers Run,2020-03-01 08:05:05,60
Millennium Falcon: Smugglers Run,2020-03-01 08:10:05,75
Millennium Falcon: Smugglers Run,2020-03-01 08:15:04,85
Millennium Falcon: Smugglers Run,2020-03-01 08:20:04,120
Millennium Falcon: Smugglers Run,2020-03-01 08:25:05,120
Millennium Falcon: Smugglers Run,2020-03-01 08:30:07,125
Millennium Falcon: Smugglers Run,2020-03-01 08:35:05,125
Millennium Falcon: Smugglers Run,2020-03-01 08:40:05,120
Millennium Falcon: Smugglers Run,2020-03-01 08:45:06,130
Millennium Falcon: Smugglers Run,2020-03-01 08:50:06,130
Millennium Falcon: Smugglers Run,2020-03-01 08:55:05,130
Millennium Falcon: Smugglers Run,2020-03-01 09:00:07,130
Millennium Falcon: Smugglers Run,2020-03-01 09:05:07,120
Millennium Falcon: Smugglers Run,2020-03-01 09:10:04,120
Millennium Falcon: Smugglers Run,2020-03-01 09:15:06,120
Millennium Falcon: Smugglers Run,2020-03-01 09:20:06,120
Millennium Falcon: Smugglers Run,2020-03-01 09:25:04,120
Millennium Falcon: Smugglers Run,2020-03-01 09:30:05,130
Millennium Falcon: Smugglers Run,2020-03-01 09:35:05,130
Millennium Falcon: Smugglers Run,2020-03-01 09:40:05,140
Millennium Falcon: Smugglers Run,2020-03-01 09:45:07,130
Millennium Falcon: Smugglers Run,2020-03-01 09:50:05,130
Millennium Falcon: Smugglers Run,2020-03-01 09:55:06,120
Millennium Falcon: Smugglers Run,2020-03-01 10:00:07,130
Millennium Falcon: Smugglers Run,2020-03-01 10:05:05,130
Millennium Falcon: Smugglers Run,2020-03-01 10:10:05,120
Millennium Falcon: Smugglers Run,2020-03-01 10:15:04,120
Millennium Falcon: Smugglers Run,2020-03-01 10:20:06,110
Millennium Falcon: Smugglers Run,2020-03-01 10:25:05,95
Millennium Falcon: Smugglers Run,2020-03-01 10:30:07,105
Millennium Falcon: Smugglers Run,2020-03-01 10:35:05,105
Millennium Falcon: Smugglers Run,2020-03-01 10:40:29,105
Millennium Falcon: Smugglers Run,2020-03-01 10:45:05,105
Millennium Falcon: Smugglers Run,2020-03-01 10:50:05,105
Millennium Falcon: Smugglers Run,2020-03-01 10:55:04,120
Millennium Falcon: Smugglers Run,2020-03-01 11:00:09,120
Millennium Falcon: Smugglers Run,2020-03-01 11:05:07,120
Millennium Falcon: Smugglers Run,2020-03-01 11:10:10,110
Millennium Falcon: Smugglers Run,2020-03-01 11:15:08,110
Millennium Falcon: Smugglers Run,2020-03-01 11:20:05,120
Millennium Falcon: Smugglers Run,2020-03-01 11:25:05,120
Millennium Falcon: Smugglers Run,2020-03-01 11:30:07,105
Millennium Falcon: Smugglers Run,2020-03-01 11:35:04,105
Millennium Falcon: Smugglers Run,2020-03-01 11:40:05,105
Millennium Falcon: Smugglers Run,2020-03-01 11:45:05,105
Millennium Falcon: Smugglers Run,2020-03-01 11:50:05,105
Millennium Falcon: Smugglers Run,2020-03-01 11:55:05,110
Millennium Falcon: Smugglers Run,2020-03-01 12:00:11,110
Millennium Falcon: Smugglers Run,2020-03-01 12:05:06,110
Millennium Falcon: Smugglers Run,2020-03-01 12:10:05,110
Millennium Falcon: Smugglers Run,2020-03-01 12:15:05,110
Millennium Falcon: Smugglers Run,2020-03-01 12:20:05,110
Millennium Falcon: Smugglers Run,2020-03-01 12:25:05,90
Millennium Falcon: Smugglers Run,2020-03-01 12:30:05,80
Millennium Falcon: Smugglers Run,2020-03-01 12:35:06,80
Millennium Falcon: Smugglers Run,2020-03-01 12:40:05,80
Millennium Falcon: Smugglers Run,2020-03-01 12:45:07,80
Millennium Falcon: Smugglers Run,2020-03-01 12:50:05,95
Millennium Falcon: Smugglers Run,2020-03-01 12:55:05,95
Millennium Falcon: Smugglers Run,2020-03-01 13:00:06,95
Millennium Falcon: Smugglers Run,2020-03-01 13:05:04,95
Millennium Falcon: Smugglers Run,2020-03-01 13:10:04,95
Millennium Falcon: Smugglers Run,2020-03-01 13:15:05,95
Millennium Falcon: Smugglers Run,2020-03-01 13:20:08,95
Millennium Falcon: Smugglers Run,2020-03-01 13:25:05,95
Millennium Falcon: Smugglers Run,2020-03-01 13:30:07,95
Millennium Falcon: Smugglers Run,2020-03-01 13:35:06,95
Millennium Falcon: Smugglers Run,2020-03-01 13:40:05,95
Millennium Falcon: Smugglers Run,2020-03-01 13:45:05,95
Millennium Falcon: Smugglers Run,2020-03-01 13:50:05,95
Millennium Falcon: Smugglers Run,2020-03-01 13:55:07,95
Millennium Falcon: Smugglers Run,2020-03-01 14:00:08,95
Millennium Falcon: Smugglers Run,2020-03-01 14:05:08,95
Millennium Falcon: Smugglers Run,2020-03-01 14:10:07,90
Millennium Falcon: Smugglers Run,2020-03-01 14:15:05,80
Millennium Falcon: Smugglers Run,2020-03-01 14:20:08,80
Millennium Falcon: Smugglers Run,2020-03-01 14:25:04,80
Millennium Falcon: Smugglers Run,2020-03-01 14:30:07,80
Millennium Falcon: Smugglers Run,2020-03-01 14:35:05,80
Millennium Falcon: Smugglers Run,2020-03-01 14:40:05,80
Millennium Falcon: Smugglers Run,2020-03-01 14:45:05,80
Millennium Falcon: Smugglers Run,2020-03-01 14:50:08,80
Millennium Falcon: Smugglers Run,2020-03-01 14:55:04,80
Millennium Falcon: Smugglers Run,2020-03-01 15:00:08,80
Millennium Falcon: Smugglers Run,2020-03-01 15:05:06,80
Millennium Falcon: Smugglers Run,2020-03-01 15:10:10,80
Millennium Falcon: Smugglers Run,2020-03-01 15:15:04,80
Millennium Falcon: Smugglers Run,2020-03-01 15:20:06,80
Millennium Falcon: Smugglers Run,2020-03-01 15:25:04,80
Millennium Falcon: Smugglers Run,2020-03-01 15:30:06,80
Millennium Falcon: Smugglers Run,2020-03-01 15:35:05,75
Millennium Falcon: Smugglers Run,2020-03-01 15:40:05,75
Millennium Falcon: Smugglers Run,2020-03-01 15:45:07,75
Millennium Falcon: Smugglers Run,2020-03-01 15:50:04,75
Millennium Falcon: Smugglers Run,2020-03-01 15:55:05,85
Millennium Falcon: Smugglers Run,2020-03-01 16:00:06,75
Millennium Falcon: Smugglers Run,2020-03-01 16:05:07,75
Millennium Falcon: Smugglers Run,2020-03-01 16:10:05,80
Millennium Falcon: Smugglers Run,2020-03-01 16:15:05,80
Millennium Falcon: Smugglers Run,2020-03-01 16:20:07,80
Millennium Falcon: Smugglers Run,2020-03-01 16:25:06,80
Millennium Falcon: Smugglers Run,2020-03-01 16:30:07,80
Millennium Falcon: Smugglers Run,2020-03-01 16:35:05,80
Millennium Falcon: Smugglers Run,2020-03-01 16:40:06,80
Millennium Falcon: Smugglers Run,2020-03-01 16:45:05,80
Millennium Falcon: Smugglers Run,2020-03-01 16:50:05,80
Millennium Falcon: Smugglers Run,2020-03-01 16:55:05,80
Millennium Falcon: Smugglers Run,2020-03-01 17:00:09,65
Millennium Falcon: Smugglers Run,2020-03-01 17:05:05,60
Millennium Falcon: Smugglers Run,2020-03-01 17:10:05,60
Millennium Falcon: Smugglers Run,2020-03-01 17:15:05,60
Millennium Falcon: Smugglers Run,2020-03-01 17:20:07,60
Millennium Falcon: Smugglers Run,2020-03-01 17:25:05,60
Millennium Falcon: Smugglers Run,2020-03-01 17:30:06,60
Millennium Falcon: Smugglers Run,2020-03-01 17:35:05,60
Millennium Falcon: Smugglers Run,2020-03-01 17:40:04,65
Millennium Falcon: Smugglers Run,2020-03-01 17:45:06,70
Millennium Falcon: Smugglers Run,2020-03-01 17:50:06,70
Millennium Falcon: Smugglers Run,2020-03-01 17:55:06,70
Millennium Falcon: Smugglers Run,2020-03-01 18:00:07,75
Millennium Falcon: Smugglers Run,2020-03-01 18:05:06,75
Millennium Falcon: Smugglers Run,2020-03-01 18:10:06,80
Millennium Falcon: Smugglers Run,2020-03-01 18:15:05,75
Millennium Falcon: Smugglers Run,2020-03-01 18:20:08,70
Millennium Falcon: Smugglers Run,2020-03-01 18:25:05,65
Millennium Falcon: Smugglers Run,2020-03-01 18:30:06,65
Millennium Falcon: Smugglers Run,2020-03-01 18:35:06,65
Millennium Falcon: Smugglers Run,2020-03-01 18:40:05,65
Millennium Falcon: Smugglers Run,2020-03-01 18:45:04,60
Millennium Falcon: Smugglers Run,2020-03-01 18:50:06,55
Millennium Falcon: Smugglers Run,2020-03-01 18:55:04,60
Millennium Falcon: Smugglers Run,2020-03-01 19:00:08,55
Millennium Falcon: Smugglers Run,2020-03-01 19:05:07,55
Millennium Falcon: Smugglers Run,2020-03-01 19:10:05,45
Millennium Falcon: Smugglers Run,2020-03-01 19:15:05,45
Millennium Falcon: Smugglers Run,2020-03-01 19:20:07,55
Millennium Falcon: Smugglers Run,2020-03-01 19:25:04,50
Millennium Falcon: Smugglers Run,2020-03-01 19:30:07,50
Millennium Falcon: Smugglers Run,2020-03-01 19:35:05,40
Millennium Falcon: Smugglers Run,2020-03-01 19:40:05,40
Millennium Falcon: Smugglers Run,2020-03-01 19:45:06,40
Millennium Falcon: Smugglers Run,2020-03-01 19:50:05,40
Millennium Falcon: Smugglers Run,2020-03-01 19:55:06,40
Millennium Falcon: Smugglers Run,2020-03-01 20:00:07,35
Millennium Falcon: Smugglers Run,2020-03-01 20:05:06,35
Millennium Falcon: Smugglers Run,2020-03-01 20:10:07,35
Millennium Falcon: Smugglers Run,2020-03-01 20:15:05,30
Millennium Falcon: Smugglers Run,2020-03-01 20:20:06,30
Millennium Falcon: Smugglers Run,2020-03-01 20:25:04,40
Millennium Falcon: Smugglers Run,2020-03-01 20:30:08,35
Millennium Falcon: Smugglers Run,2020-03-01 20:35:05,35
