Ride,Date/Time,Wait Time
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 06:00:06,0
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 06:10:05,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 06:15:05,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 06:20:05,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 06:25:05,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 06:30:06,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 06:35:05,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 06:40:05,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 06:45:08,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 06:50:05,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 06:55:06,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 07:00:06,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 07:05:08,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 07:10:05,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 07:15:07,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 07:20:04,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 07:25:05,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 07:30:06,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 07:35:05,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 07:40:05,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 07:45:07,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 07:50:05,5
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 07:55:04,10
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 08:00:06,10
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 08:05:08,10
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 08:10:04,15
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 08:15:04,15
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 08:20:06,15
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 08:25:04,15
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 08:30:07,15
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 08:35:05,15
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 08:40:06,15
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 08:45:05,15
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 08:50:05,15
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 08:55:04,15
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 09:00:06,15
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 09:05:11,15
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 09:10:05,25
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 09:15:05,25
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 09:20:05,25
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 09:25:05,25
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 09:30:06,25
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 09:35:05,30
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 09:40:05,30
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 09:45:05,30
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 09:50:04,30
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 09:55:04,30
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 10:00:07,30
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 10:05:08,35
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 10:10:04,35
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 10:15:06,35
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 10:20:05,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 10:25:06,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 10:30:07,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 10:35:04,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 10:40:05,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 10:45:04,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 10:50:05,40
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 10:55:06,40
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 11:00:06,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 11:05:08,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 11:10:05,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 11:15:06,40
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 11:20:05,40
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 11:25:05,40
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 11:30:06,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 11:35:05,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 11:40:04,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 11:45:06,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 11:50:05,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 11:55:05,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 12:00:08,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 12:05:09,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 12:10:05,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 12:15:10,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 12:20:05,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 12:25:04,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 12:30:06,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 12:35:14,45
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 12:40:05,45
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 12:45:07,45
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 12:50:07,40
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 12:55:04,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 13:00:07,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 13:05:04,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 13:10:05,45
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 13:15:04,45
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 13:20:08,40
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 13:25:04,40
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 13:30:06,35
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 13:35:05,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 13:40:05,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 13:45:05,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 13:50:06,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 13:55:04,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 14:00:07,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 14:05:06,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 14:10:05,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 14:15:05,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 14:20:05,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 14:25:09,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 14:30:06,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 14:35:06,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 14:40:05,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 14:45:05,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 14:50:06,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 14:55:14,70
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 15:00:05,70
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 15:05:09,70
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 15:10:06,75
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 15:15:05,75
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 15:20:05,75
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 15:25:07,65
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 15:30:04,65
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 15:35:06,65
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 15:40:05,65
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 15:45:06,70
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 15:50:05,70
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 15:55:06,70
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 16:00:07,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 16:05:07,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 16:10:05,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 16:15:40,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 16:20:04,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 16:30:06,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 16:35:05,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 16:40:05,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 16:45:09,65
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 16:50:06,65
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 16:55:04,65
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 17:00:08,65
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 17:05:10,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 17:10:05,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 17:15:05,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 17:20:06,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 17:25:05,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 17:30:07,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 17:35:05,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 17:40:05,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 17:45:07,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 17:50:04,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 17:55:04,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 18:00:07,40
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 18:05:08,40
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 18:10:05,40
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 18:15:07,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 18:20:04,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 18:25:06,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 18:30:06,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 18:35:05,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 18:40:07,50
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 18:45:04,55
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 18:50:06,60
Rock 'n' Roller Coaster Starring Aerosmith,2019-11-01 18:55:04,60
