Ride,Date/Time,Wait Time
The Twilight Zone Tower of Terror,2019-06-01 08:40:02,5
The Twilight Zone Tower of Terror,2019-06-01 08:45:01,5
The Twilight Zone Tower of Terror,2019-06-01 08:50:02,5
The Twilight Zone Tower of Terror,2019-06-01 09:00:01,60
The Twilight Zone Tower of Terror,2019-06-01 09:05:01,50
The Twilight Zone Tower of Terror,2019-06-01 09:10:01,50
The Twilight Zone Tower of Terror,2019-06-01 09:15:02,50
The Twilight Zone Tower of Terror,2019-06-01 09:20:01,60
The Twilight Zone Tower of Terror,2019-06-01 09:25:01,70
The Twilight Zone Tower of Terror,2019-06-01 09:30:02,70
The Twilight Zone Tower of Terror,2019-06-01 09:35:01,80
The Twilight Zone Tower of Terror,2019-06-01 09:40:01,80
The Twilight Zone Tower of Terror,2019-06-01 09:45:01,90
The Twilight Zone Tower of Terror,2019-06-01 09:50:01,90
The Twilight Zone Tower of Terror,2019-06-01 09:55:02,90
The Twilight Zone Tower of Terror,2019-06-01 10:00:02,90
The Twilight Zone Tower of Terror,2019-06-01 10:05:02,90
The Twilight Zone Tower of Terror,2019-06-01 10:10:01,90
The Twilight Zone Tower of Terror,2019-06-01 10:15:02,95
The Twilight Zone Tower of Terror,2019-06-01 10:20:01,125
The Twilight Zone Tower of Terror,2019-06-01 10:25:01,135
The Twilight Zone Tower of Terror,2019-06-01 10:30:02,110
The Twilight Zone Tower of Terror,2019-06-01 10:35:02,110
The Twilight Zone Tower of Terror,2019-06-01 10:40:02,110
The Twilight Zone Tower of Terror,2019-06-01 10:45:02,95
The Twilight Zone Tower of Terror,2019-06-01 10:50:02,85
The Twilight Zone Tower of Terror,2019-06-01 10:55:01,85
The Twilight Zone Tower of Terror,2019-06-01 11:00:02,90
The Twilight Zone Tower of Terror,2019-06-01 11:05:02,90
The Twilight Zone Tower of Terror,2019-06-01 11:10:02,90
The Twilight Zone Tower of Terror,2019-06-01 11:15:02,90
The Twilight Zone Tower of Terror,2019-06-01 11:20:01,85
The Twilight Zone Tower of Terror,2019-06-01 11:25:02,80
The Twilight Zone Tower of Terror,2019-06-01 11:30:02,70
The Twilight Zone Tower of Terror,2019-06-01 11:35:02,105
The Twilight Zone Tower of Terror,2019-06-01 11:40:02,105
The Twilight Zone Tower of Terror,2019-06-01 11:45:01,115
The Twilight Zone Tower of Terror,2019-06-01 11:50:01,115
The Twilight Zone Tower of Terror,2019-06-01 11:55:01,115
The Twilight Zone Tower of Terror,2019-06-01 12:00:02,130
The Twilight Zone Tower of Terror,2019-06-01 12:05:01,115
The Twilight Zone Tower of Terror,2019-06-01 12:10:01,115
The Twilight Zone Tower of Terror,2019-06-01 12:15:01,95
The Twilight Zone Tower of Terror,2019-06-01 12:20:01,115
The Twilight Zone Tower of Terror,2019-06-01 12:25:02,115
The Twilight Zone Tower of Terror,2019-06-01 12:30:01,110
The Twilight Zone Tower of Terror,2019-06-01 12:35:02,110
The Twilight Zone Tower of Terror,2019-06-01 12:40:01,105
The Twilight Zone Tower of Terror,2019-06-01 12:45:02,110
The Twilight Zone Tower of Terror,2019-06-01 12:50:02,105
The Twilight Zone Tower of Terror,2019-06-01 12:55:01,105
The Twilight Zone Tower of Terror,2019-06-01 13:00:01,60
The Twilight Zone Tower of Terror,2019-06-01 13:05:02,60
The Twilight Zone Tower of Terror,2019-06-01 13:10:01,60
The Twilight Zone Tower of Terror,2019-06-01 13:15:02,45
The Twilight Zone Tower of Terror,2019-06-01 13:20:02,65
The Twilight Zone Tower of Terror,2019-06-01 13:25:01,65
The Twilight Zone Tower of Terror,2019-06-01 13:30:02,70
The Twilight Zone Tower of Terror,2019-06-01 13:35:01,75
The Twilight Zone Tower of Terror,2019-06-01 13:40:02,80
The Twilight Zone Tower of Terror,2019-06-01 13:45:01,80
The Twilight Zone Tower of Terror,2019-06-01 13:50:01,90
The Twilight Zone Tower of Terror,2019-06-01 13:55:01,85
The Twilight Zone Tower of Terror,2019-06-01 14:00:02,85
The Twilight Zone Tower of Terror,2019-06-01 14:05:01,85
The Twilight Zone Tower of Terror,2019-06-01 14:10:02,85
The Twilight Zone Tower of Terror,2019-06-01 14:15:02,85
The Twilight Zone Tower of Terror,2019-06-01 14:20:01,85
The Twilight Zone Tower of Terror,2019-06-01 14:25:01,85
The Twilight Zone Tower of Terror,2019-06-01 14:30:02,95
The Twilight Zone Tower of Terror,2019-06-01 14:35:01,95
The Twilight Zone Tower of Terror,2019-06-01 14:40:02,90
The Twilight Zone Tower of Terror,2019-06-01 14:45:01,95
The Twilight Zone Tower of Terror,2019-06-01 14:50:02,95
The Twilight Zone Tower of Terror,2019-06-01 14:55:01,95
The Twilight Zone Tower of Terror,2019-06-01 15:00:02,105
The Twilight Zone Tower of Terror,2019-06-01 15:05:01,105
The Twilight Zone Tower of Terror,2019-06-01 15:10:02,90
The Twilight Zone Tower of Terror,2019-06-01 15:15:02,90
The Twilight Zone Tower of Terror,2019-06-01 15:20:02,85
The Twilight Zone Tower of Terror,2019-06-01 15:25:02,85
The Twilight Zone Tower of Terror,2019-06-01 15:30:02,90
The Twilight Zone Tower of Terror,2019-06-01 15:35:01,90
The Twilight Zone Tower of Terror,2019-06-01 15:40:01,85
The Twilight Zone Tower of Terror,2019-06-01 15:45:02,85
The Twilight Zone Tower of Terror,2019-06-01 15:50:01,80
The Twilight Zone Tower of Terror,2019-06-01 15:55:02,80
The Twilight Zone Tower of Terror,2019-06-01 16:00:02,75
The Twilight Zone Tower of Terror,2019-06-01 16:05:02,75
The Twilight Zone Tower of Terror,2019-06-01 16:10:02,75
The Twilight Zone Tower of Terror,2019-06-01 16:15:01,75
The Twilight Zone Tower of Terror,2019-06-01 16:20:02,105
The Twilight Zone Tower of Terror,2019-06-01 16:25:01,110
The Twilight Zone Tower of Terror,2019-06-01 16:30:02,105
The Twilight Zone Tower of Terror,2019-06-01 16:35:01,105
The Twilight Zone Tower of Terror,2019-06-01 16:40:01,105
The Twilight Zone Tower of Terror,2019-06-01 16:45:01,85
The Twilight Zone Tower of Terror,2019-06-01 16:50:02,85
