Ride,Date/Time,Wait Time
Jurassic Park River Adventure,2020-01-01 09:00:04,5
Jurassic Park River Adventure,2020-01-01 09:05:03,5
Jurassic Park River Adventure,2020-01-01 09:10:03,5
Jurassic Park River Adventure,2020-01-01 09:15:02,5
Jurassic Park River Adventure,2020-01-01 09:20:03,5
Jurassic Park River Adventure,2020-01-01 09:25:03,5
Jurassic Park River Adventure,2020-01-01 09:30:03,5
Jurassic Park River Adventure,2020-01-01 09:35:03,5
Jurassic Park River Adventure,2020-01-01 09:40:03,5
Jurassic Park River Adventure,2020-01-01 09:45:03,5
Jurassic Park River Adventure,2020-01-01 09:50:03,5
Jurassic Park River Adventure,2020-01-01 09:55:03,5
Jurassic Park River Adventure,2020-01-01 10:00:06,5
Jurassic Park River Adventure,2020-01-01 10:05:05,5
Jurassic Park River Adventure,2020-01-01 10:10:03,5
Jurassic Park River Adventure,2020-01-01 10:15:03,5
Jurassic Park River Adventure,2020-01-01 10:20:03,5
Jurassic Park River Adventure,2020-01-01 10:25:03,5
Jurassic Park River Adventure,2020-01-01 10:30:03,5
Jurassic Park River Adventure,2020-01-01 10:35:03,5
Jurassic Park River Adventure,2020-01-01 10:40:03,5
Jurassic Park River Adventure,2020-01-01 10:45:03,5
Jurassic Park River Adventure,2020-01-01 10:50:04,5
Jurassic Park River Adventure,2020-01-01 10:55:03,5
Jurassic Park River Adventure,2020-01-01 11:00:04,5
Jurassic Park River Adventure,2020-01-01 11:05:06,5
Jurassic Park River Adventure,2020-01-01 11:10:03,5
Jurassic Park River Adventure,2020-01-01 11:15:02,5
Jurassic Park River Adventure,2020-01-01 11:20:03,5
Jurassic Park River Adventure,2020-01-01 11:25:03,5
Jurassic Park River Adventure,2020-01-01 11:30:03,5
Jurassic Park River Adventure,2020-01-01 11:35:03,5
Jurassic Park River Adventure,2020-01-01 11:40:03,5
Jurassic Park River Adventure,2020-01-01 11:45:03,5
Jurassic Park River Adventure,2020-01-01 11:50:03,5
Jurassic Park River Adventure,2020-01-01 11:55:03,5
Jurassic Park River Adventure,2020-01-01 12:00:06,5
Jurassic Park River Adventure,2020-01-01 12:05:04,5
Jurassic Park River Adventure,2020-01-01 12:10:04,5
Jurassic Park River Adventure,2020-01-01 12:15:04,5
Jurassic Park River Adventure,2020-01-01 12:20:03,5
Jurassic Park River Adventure,2020-01-01 12:25:03,5
Jurassic Park River Adventure,2020-01-01 12:30:04,5
Jurassic Park River Adventure,2020-01-01 12:35:03,5
Jurassic Park River Adventure,2020-01-01 12:40:03,15
Jurassic Park River Adventure,2020-01-01 12:45:03,15
Jurassic Park River Adventure,2020-01-01 12:50:04,15
Jurassic Park River Adventure,2020-01-01 12:55:03,15
Jurassic Park River Adventure,2020-01-01 13:00:03,15
Jurassic Park River Adventure,2020-01-01 13:05:05,15
Jurassic Park River Adventure,2020-01-01 13:10:03,10
Jurassic Park River Adventure,2020-01-01 13:15:03,10
Jurassic Park River Adventure,2020-01-01 13:20:03,10
Jurassic Park River Adventure,2020-01-01 13:25:03,10
Jurassic Park River Adventure,2020-01-01 13:30:04,10
Jurassic Park River Adventure,2020-01-01 13:35:03,10
Jurassic Park River Adventure,2020-01-01 13:40:03,10
Jurassic Park River Adventure,2020-01-01 13:45:03,10
Jurassic Park River Adventure,2020-01-01 13:50:03,20
Jurassic Park River Adventure,2020-01-01 13:55:02,20
Jurassic Park River Adventure,2020-01-01 14:00:05,25
Jurassic Park River Adventure,2020-01-01 14:05:03,25
Jurassic Park River Adventure,2020-01-01 14:10:03,25
Jurassic Park River Adventure,2020-01-01 14:15:03,20
Jurassic Park River Adventure,2020-01-01 14:20:03,20
Jurassic Park River Adventure,2020-01-01 14:25:02,20
Jurassic Park River Adventure,2020-01-01 14:30:03,20
Jurassic Park River Adventure,2020-01-01 14:35:04,20
Jurassic Park River Adventure,2020-01-01 14:40:03,20
Jurassic Park River Adventure,2020-01-01 14:45:03,20
Jurassic Park River Adventure,2020-01-01 14:50:03,20
Jurassic Park River Adventure,2020-01-01 14:55:03,10
Jurassic Park River Adventure,2020-01-01 15:00:04,10
Jurassic Park River Adventure,2020-01-01 15:05:05,10
Jurassic Park River Adventure,2020-01-01 15:10:03,10
Jurassic Park River Adventure,2020-01-01 15:15:03,10
Jurassic Park River Adventure,2020-01-01 15:20:03,10
Jurassic Park River Adventure,2020-01-01 15:25:02,10
Jurassic Park River Adventure,2020-01-01 15:30:03,10
Jurassic Park River Adventure,2020-01-01 15:35:03,10
Jurassic Park River Adventure,2020-01-01 15:40:03,10
Jurassic Park River Adventure,2020-01-01 15:45:02,10
Jurassic Park River Adventure,2020-01-01 15:50:03,10
Jurassic Park River Adventure,2020-01-01 15:55:03,10
Jurassic Park River Adventure,2020-01-01 16:00:03,10
Jurassic Park River Adventure,2020-01-01 16:05:05,10
Jurassic Park River Adventure,2020-01-01 16:10:03,10
Jurassic Park River Adventure,2020-01-01 16:15:04,10
Jurassic Park River Adventure,2020-01-01 16:20:03,10
Jurassic Park River Adventure,2020-01-01 16:25:04,10
Jurassic Park River Adventure,2020-01-01 16:30:04,5
Jurassic Park River Adventure,2020-01-01 16:35:04,5
Jurassic Park River Adventure,2020-01-01 16:40:04,5
Jurassic Park River Adventure,2020-01-01 16:45:03,5
Jurassic Park River Adventure,2020-01-01 16:50:06,5
Jurassic Park River Adventure,2020-01-01 16:55:03,5
Jurassic Park River Adventure,2020-01-01 17:00:04,5
Jurassic Park River Adventure,2020-01-01 17:05:07,5
Jurassic Park River Adventure,2020-01-01 17:10:02,5
Jurassic Park River Adventure,2020-01-01 17:15:03,5
Jurassic Park River Adventure,2020-01-01 17:20:03,5
Jurassic Park River Adventure,2020-01-01 17:25:03,5
Jurassic Park River Adventure,2020-01-01 17:30:03,5
Jurassic Park River Adventure,2020-01-01 17:35:03,5
Jurassic Park River Adventure,2020-01-01 17:40:02,5
Jurassic Park River Adventure,2020-01-01 17:45:04,5
Jurassic Park River Adventure,2020-01-01 17:50:03,5
Jurassic Park River Adventure,2020-01-01 17:55:03,5
Jurassic Park River Adventure,2020-01-01 18:00:04,5
