Ride,Date/Time,Wait Time
Astro Orbiter,2019-09-21 15:00:06,15
Astro Orbiter,2019-09-21 15:05:09,15
Astro Orbiter,2019-09-21 15:10:08,15
Astro Orbiter,2019-09-21 15:20:06,20
Astro Orbiter,2019-09-21 15:25:04,20
Astro Orbiter,2019-09-21 15:30:06,20
Astro Orbiter,2019-09-21 15:35:05,25
Astro Orbiter,2019-09-21 15:40:05,25
Astro Orbiter,2019-09-21 15:45:04,25
Astro Orbiter,2019-09-21 15:50:04,25
Astro Orbiter,2019-09-21 15:55:04,30
Astro Orbiter,2019-09-21 16:00:06,30
Astro Orbiter,2019-09-21 16:10:05,30
Astro Orbiter,2019-09-21 16:15:06,40
Astro Orbiter,2019-09-21 16:25:05,25
Astro Orbiter,2019-09-21 16:30:05,35
Astro Orbiter,2019-09-21 16:35:10,35
Astro Orbiter,2019-09-21 16:40:05,35
Astro Orbiter,2019-09-21 16:45:04,35
Astro Orbiter,2019-09-21 16:50:05,20
Astro Orbiter,2019-09-21 17:05:08,30
Astro Orbiter,2019-09-21 17:10:05,25
Astro Orbiter,2019-09-21 17:15:06,25
Astro Orbiter,2019-09-21 17:20:05,25
Astro Orbiter,2019-09-21 17:25:05,25
Astro Orbiter,2019-09-21 17:30:05,35
Astro Orbiter,2019-09-21 17:40:05,40
Astro Orbiter,2019-09-21 17:45:05,40
Astro Orbiter,2019-09-21 17:55:04,40
Astro Orbiter,2019-09-21 18:00:07,30
Astro Orbiter,2019-09-21 18:05:17,30
Astro Orbiter,2019-09-21 18:10:09,30
Astro Orbiter,2019-09-21 18:15:04,30
Astro Orbiter,2019-09-21 18:20:05,25
Astro Orbiter,2019-09-21 18:25:05,25
Astro Orbiter,2019-09-21 18:30:06,25
Astro Orbiter,2019-09-21 18:35:05,25
Astro Orbiter,2019-09-21 18:40:05,25
Astro Orbiter,2019-09-21 18:45:04,30
Astro Orbiter,2019-09-21 18:50:05,25
Astro Orbiter,2019-09-21 18:55:04,30
Astro Orbiter,2019-09-21 19:00:05,30
Astro Orbiter,2019-09-21 19:05:05,25
Astro Orbiter,2019-09-21 19:10:05,25
Astro Orbiter,2019-09-21 19:15:05,25
Astro Orbiter,2019-09-21 19:20:09,30
Astro Orbiter,2019-09-21 19:25:05,40
Astro Orbiter,2019-09-21 19:30:05,25
Astro Orbiter,2019-09-21 19:35:05,35
Astro Orbiter,2019-09-21 19:40:05,20
Astro Orbiter,2019-09-21 19:45:09,40
Astro Orbiter,2019-09-21 19:50:05,40
Astro Orbiter,2019-09-21 19:55:05,40
Astro Orbiter,2019-09-21 20:05:08,30
Astro Orbiter,2019-09-21 20:10:04,35
Astro Orbiter,2019-09-21 20:15:06,40
Astro Orbiter,2019-09-21 20:20:06,50
Astro Orbiter,2019-09-21 20:25:04,50
Astro Orbiter,2019-09-21 20:30:12,50
Astro Orbiter,2019-09-21 20:35:04,60
Astro Orbiter,2019-09-21 20:40:08,60
Astro Orbiter,2019-09-21 20:45:05,60
Astro Orbiter,2019-09-21 20:50:05,60
Astro Orbiter,2019-09-21 20:55:04,10
Astro Orbiter,2019-09-21 21:00:05,10
Astro Orbiter,2019-09-21 21:05:11,25
Astro Orbiter,2019-09-21 21:15:04,25
Astro Orbiter,2019-09-21 21:20:10,20
Astro Orbiter,2019-09-21 21:25:04,10
Astro Orbiter,2019-09-21 21:30:05,10
Astro Orbiter,2019-09-21 21:35:05,15
Astro Orbiter,2019-09-21 21:40:05,20
Astro Orbiter,2019-09-21 21:45:08,20
Astro Orbiter,2019-09-21 21:50:05,20
Astro Orbiter,2019-09-22 07:10:04,10
Astro Orbiter,2019-09-22 07:15:04,10
Astro Orbiter,2019-09-22 07:20:05,10
Astro Orbiter,2019-09-22 07:30:05,10
Astro Orbiter,2019-09-22 07:40:05,10
Astro Orbiter,2019-09-22 07:45:04,30
Astro Orbiter,2019-09-22 07:50:05,30
Astro Orbiter,2019-09-22 08:00:06,5
Astro Orbiter,2019-09-22 08:10:05,10
Astro Orbiter,2019-09-22 08:15:04,10
Astro Orbiter,2019-09-22 08:20:05,10
Astro Orbiter,2019-09-22 08:35:49,10
Astro Orbiter,2019-09-22 08:40:03,10
Astro Orbiter,2019-09-22 08:45:04,10
Astro Orbiter,2019-09-22 08:50:04,10
Astro Orbiter,2019-09-22 08:55:04,15
Astro Orbiter,2019-09-22 09:00:04,15
Astro Orbiter,2019-09-22 09:05:05,15
Astro Orbiter,2019-09-22 09:10:04,15
Astro Orbiter,2019-09-22 09:15:04,20
Astro Orbiter,2019-09-22 09:50:05,20
Astro Orbiter,2019-09-22 09:55:04,10
Astro Orbiter,2019-09-22 10:00:07,15
Astro Orbiter,2019-09-22 10:05:03,15
Astro Orbiter,2019-09-22 10:10:05,20
Astro Orbiter,2019-09-22 10:15:04,20
Astro Orbiter,2019-09-22 10:20:05,25
Astro Orbiter,2019-09-22 10:25:04,30
Astro Orbiter,2019-09-22 10:30:05,25
Astro Orbiter,2019-09-22 10:35:05,25
Astro Orbiter,2019-09-22 10:40:04,25
Astro Orbiter,2019-09-22 10:45:04,25
Astro Orbiter,2019-09-22 10:50:04,35
Astro Orbiter,2019-09-22 10:55:04,25
Astro Orbiter,2019-09-22 11:00:04,20
Astro Orbiter,2019-09-22 11:05:04,30
Astro Orbiter,2019-09-22 11:10:04,25
Astro Orbiter,2019-09-22 11:15:04,40
Astro Orbiter,2019-09-22 11:20:05,25
Astro Orbiter,2019-09-22 11:25:04,20
Astro Orbiter,2019-09-22 11:30:04,30
Astro Orbiter,2019-09-22 11:35:04,20
Astro Orbiter,2019-09-22 11:40:04,35
Astro Orbiter,2019-09-22 11:45:05,35
Astro Orbiter,2019-09-22 11:50:05,35
Astro Orbiter,2019-09-22 11:55:05,25
Astro Orbiter,2019-09-22 12:00:05,35
Astro Orbiter,2019-09-22 12:05:04,30
Astro Orbiter,2019-09-22 12:10:04,30
Astro Orbiter,2019-09-22 12:15:04,30
Astro Orbiter,2019-09-22 12:20:04,25
Astro Orbiter,2019-09-22 12:25:04,20
Astro Orbiter,2019-09-22 12:30:05,15
Astro Orbiter,2019-09-22 12:35:04,15
Astro Orbiter,2019-09-22 12:40:05,15
Astro Orbiter,2019-09-22 12:45:05,20
Astro Orbiter,2019-09-22 12:50:04,15
Astro Orbiter,2019-09-22 12:55:04,25
Astro Orbiter,2019-09-22 13:00:04,20
Astro Orbiter,2019-09-22 13:05:04,15
Astro Orbiter,2019-09-22 13:10:05,20
Astro Orbiter,2019-09-22 13:15:04,20
Astro Orbiter,2019-09-22 13:20:04,15
Astro Orbiter,2019-09-22 13:25:04,15
Astro Orbiter,2019-09-22 13:30:04,15
Astro Orbiter,2019-09-22 13:35:04,15
Astro Orbiter,2019-09-22 13:40:04,20
Astro Orbiter,2019-09-22 13:45:05,15
Astro Orbiter,2019-09-22 13:50:05,20
Astro Orbiter,2019-09-22 13:55:03,20
Astro Orbiter,2019-09-22 14:00:04,15
Astro Orbiter,2019-09-22 14:05:03,15
Astro Orbiter,2019-09-22 14:10:03,20
Astro Orbiter,2019-09-22 14:15:04,30
Astro Orbiter,2019-09-22 14:20:05,30
Astro Orbiter,2019-09-22 14:25:05,30
Astro Orbiter,2019-09-22 14:30:04,30
Astro Orbiter,2019-09-22 14:35:04,30
Astro Orbiter,2019-09-22 14:40:04,30
Astro Orbiter,2019-09-22 14:45:05,20
Astro Orbiter,2019-09-22 14:50:04,20
Astro Orbiter,2019-09-22 14:55:04,20
Astro Orbiter,2019-09-22 15:00:04,10
Astro Orbiter,2019-09-22 15:05:04,15
Astro Orbiter,2019-09-22 15:10:03,15
Astro Orbiter,2019-09-22 15:15:04,30
Astro Orbiter,2019-09-22 15:20:04,30
Astro Orbiter,2019-09-22 15:25:04,30
Astro Orbiter,2019-09-22 15:30:04,15
Astro Orbiter,2019-09-22 15:35:05,30
Astro Orbiter,2019-09-22 15:40:04,15
Astro Orbiter,2019-09-22 15:45:04,20
Astro Orbiter,2019-09-22 15:50:04,15
Astro Orbiter,2019-09-22 15:55:04,10
Astro Orbiter,2019-09-22 16:00:10,10
Astro Orbiter,2019-09-22 16:05:04,15
Astro Orbiter,2019-09-22 16:10:05,15
Astro Orbiter,2019-09-22 16:15:05,35
Astro Orbiter,2019-09-22 16:20:04,35
Astro Orbiter,2019-09-22 16:25:05,35
Astro Orbiter,2019-09-22 16:30:04,35
Astro Orbiter,2019-09-22 16:35:08,25
Astro Orbiter,2019-09-22 16:40:04,20
Astro Orbiter,2019-09-22 16:45:04,15
Astro Orbiter,2019-09-22 16:50:07,25
Astro Orbiter,2019-09-22 16:55:04,15
Astro Orbiter,2019-09-22 17:00:04,15
Astro Orbiter,2019-09-22 17:05:04,20
Astro Orbiter,2019-09-22 17:10:05,20
Astro Orbiter,2019-09-22 17:15:04,20
Astro Orbiter,2019-09-22 17:20:05,25
Astro Orbiter,2019-09-22 17:25:04,30
Astro Orbiter,2019-09-22 17:30:04,30
Astro Orbiter,2019-09-22 17:35:05,40
Astro Orbiter,2019-09-22 17:40:04,40
Astro Orbiter,2019-09-22 17:45:04,15
Astro Orbiter,2019-09-22 17:50:04,30
Astro Orbiter,2019-09-22 17:55:04,25
Astro Orbiter,2019-09-22 18:00:04,25
Astro Orbiter,2019-09-22 18:05:05,25
Astro Orbiter,2019-09-22 18:10:04,35
Astro Orbiter,2019-09-22 18:15:04,35
Astro Orbiter,2019-09-22 18:20:04,35
Astro Orbiter,2019-09-22 18:25:04,35
Astro Orbiter,2019-09-22 18:30:04,20
Astro Orbiter,2019-09-22 18:35:04,25
Astro Orbiter,2019-09-22 18:40:03,25
Astro Orbiter,2019-09-22 18:45:05,20
Astro Orbiter,2019-09-22 18:50:04,40
Astro Orbiter,2019-09-22 18:55:08,40
Astro Orbiter,2019-09-22 19:00:04,25
Astro Orbiter,2019-09-22 19:05:03,20
Astro Orbiter,2019-09-22 19:10:04,25
Astro Orbiter,2019-09-22 19:15:04,20
Astro Orbiter,2019-09-22 19:20:05,20
Astro Orbiter,2019-09-22 19:25:04,20
Astro Orbiter,2019-09-22 19:30:04,15
Astro Orbiter,2019-09-22 19:35:03,30
Astro Orbiter,2019-09-22 19:40:05,30
Astro Orbiter,2019-09-22 19:45:05,10
Astro Orbiter,2019-09-22 19:50:03,30
Astro Orbiter,2019-09-22 19:55:04,30
Astro Orbiter,2019-09-22 20:00:04,20
Astro Orbiter,2019-09-22 20:05:04,10
Astro Orbiter,2019-09-22 20:10:04,20
Astro Orbiter,2019-09-22 20:15:04,20
Astro Orbiter,2019-09-22 20:20:04,25
Astro Orbiter,2019-09-22 20:25:04,25
Astro Orbiter,2019-09-22 20:30:04,25
Astro Orbiter,2019-09-22 20:35:05,10
Astro Orbiter,2019-09-22 20:40:04,15
Astro Orbiter,2019-09-22 20:45:04,25
Astro Orbiter,2019-09-22 20:50:04,25
Astro Orbiter,2019-09-22 20:55:04,25
Astro Orbiter,2019-09-22 21:00:04,20
Astro Orbiter,2019-09-22 21:05:04,20
Astro Orbiter,2019-09-22 21:10:04,10
Astro Orbiter,2019-09-22 21:15:04,10
Astro Orbiter,2019-09-22 21:20:03,15
Astro Orbiter,2019-09-22 21:25:04,10
Astro Orbiter,2019-09-22 21:30:04,25
Astro Orbiter,2019-09-22 21:35:05,15
Astro Orbiter,2019-09-22 21:40:05,15
Astro Orbiter,2019-09-22 21:45:03,20
Astro Orbiter,2019-09-22 21:50:04,25
Astro Orbiter,2019-09-22 21:55:03,20
Astro Orbiter,2019-09-22 22:00:04,10
Astro Orbiter,2019-09-22 22:05:04,10
Astro Orbiter,2019-09-22 22:10:05,10
Astro Orbiter,2019-09-22 22:15:04,10
Astro Orbiter,2019-09-22 22:20:05,10
Astro Orbiter,2019-09-22 22:25:08,20
Astro Orbiter,2019-09-22 22:30:06,25
Astro Orbiter,2019-09-22 22:35:04,25
Astro Orbiter,2019-09-22 22:40:04,10
Astro Orbiter,2019-09-22 22:45:04,5
Astro Orbiter,2019-09-22 22:50:04,15
Astro Orbiter,2019-09-22 22:55:04,10
Astro Orbiter,2019-09-22 23:00:04,10
Astro Orbiter,2019-09-22 23:05:04,10
Astro Orbiter,2019-09-22 23:10:03,10
Astro Orbiter,2019-09-22 23:15:05,5
Astro Orbiter,2019-09-22 23:20:04,15
Astro Orbiter,2019-09-22 23:25:03,15
