Ride,Date/Time,Wait Time
"""it's a small world""",2019-12-01 07:50:07,5
"""it's a small world""",2019-12-01 07:55:04,5
"""it's a small world""",2019-12-01 08:00:06,5
"""it's a small world""",2019-12-01 08:05:04,5
"""it's a small world""",2019-12-01 08:10:05,10
"""it's a small world""",2019-12-01 08:15:04,10
"""it's a small world""",2019-12-01 08:20:07,10
"""it's a small world""",2019-12-01 08:25:05,10
"""it's a small world""",2019-12-01 08:30:07,10
"""it's a small world""",2019-12-01 08:35:05,10
"""it's a small world""",2019-12-01 08:40:05,10
"""it's a small world""",2019-12-01 08:45:05,10
"""it's a small world""",2019-12-01 08:50:06,10
"""it's a small world""",2019-12-01 08:55:04,10
"""it's a small world""",2019-12-01 09:00:08,10
"""it's a small world""",2019-12-01 09:05:08,10
"""it's a small world""",2019-12-01 09:10:04,10
"""it's a small world""",2019-12-01 09:15:05,10
"""it's a small world""",2019-12-01 09:20:05,10
"""it's a small world""",2019-12-01 09:25:04,10
"""it's a small world""",2019-12-01 09:30:07,10
"""it's a small world""",2019-12-01 09:35:04,10
"""it's a small world""",2019-12-01 09:40:06,10
"""it's a small world""",2019-12-01 09:45:05,15
"""it's a small world""",2019-12-01 09:50:05,15
"""it's a small world""",2019-12-01 09:55:05,15
"""it's a small world""",2019-12-01 10:00:09,20
"""it's a small world""",2019-12-01 10:05:09,20
"""it's a small world""",2019-12-01 10:10:04,20
"""it's a small world""",2019-12-01 10:15:05,20
"""it's a small world""",2019-12-01 10:20:05,15
"""it's a small world""",2019-12-01 10:25:06,20
"""it's a small world""",2019-12-01 10:30:06,20
"""it's a small world""",2019-12-01 10:35:05,20
"""it's a small world""",2019-12-01 10:40:07,15
"""it's a small world""",2019-12-01 10:45:04,20
"""it's a small world""",2019-12-01 10:50:08,20
"""it's a small world""",2019-12-01 10:55:06,15
"""it's a small world""",2019-12-01 11:00:07,20
"""it's a small world""",2019-12-01 11:05:09,25
"""it's a small world""",2019-12-01 11:10:04,20
"""it's a small world""",2019-12-01 11:15:06,25
"""it's a small world""",2019-12-01 11:20:06,25
"""it's a small world""",2019-12-01 11:25:05,20
"""it's a small world""",2019-12-01 11:30:05,25
"""it's a small world""",2019-12-01 11:35:09,25
"""it's a small world""",2019-12-01 11:40:07,25
"""it's a small world""",2019-12-01 11:45:05,25
"""it's a small world""",2019-12-01 11:50:05,20
"""it's a small world""",2019-12-01 11:55:06,25
"""it's a small world""",2019-12-01 12:00:10,25
"""it's a small world""",2019-12-01 12:05:08,25
"""it's a small world""",2019-12-01 12:10:06,25
"""it's a small world""",2019-12-01 12:15:07,30
"""it's a small world""",2019-12-01 12:20:06,30
"""it's a small world""",2019-12-01 12:25:07,25
"""it's a small world""",2019-12-01 12:30:17,30
"""it's a small world""",2019-12-01 12:35:07,25
"""it's a small world""",2019-12-01 12:40:04,30
"""it's a small world""",2019-12-01 12:45:06,30
"""it's a small world""",2019-12-01 12:50:07,10
"""it's a small world""",2019-12-01 12:55:07,35
"""it's a small world""",2019-12-01 13:00:07,40
"""it's a small world""",2019-12-01 13:05:09,40
"""it's a small world""",2019-12-01 13:10:07,40
"""it's a small world""",2019-12-01 13:15:06,40
"""it's a small world""",2019-12-01 13:20:05,40
"""it's a small world""",2019-12-01 13:25:06,40
"""it's a small world""",2019-12-01 13:30:07,35
"""it's a small world""",2019-12-01 13:35:05,25
"""it's a small world""",2019-12-01 13:40:05,30
"""it's a small world""",2019-12-01 13:45:06,25
"""it's a small world""",2019-12-01 13:50:05,20
"""it's a small world""",2019-12-01 13:55:05,20
"""it's a small world""",2019-12-01 14:00:06,15
"""it's a small world""",2019-12-01 14:05:07,25
"""it's a small world""",2019-12-01 14:10:05,25
"""it's a small world""",2019-12-01 14:15:07,25
"""it's a small world""",2019-12-01 14:20:06,25
"""it's a small world""",2019-12-01 14:25:10,30
"""it's a small world""",2019-12-01 14:30:07,25
"""it's a small world""",2019-12-01 14:35:07,15
"""it's a small world""",2019-12-01 14:40:05,25
"""it's a small world""",2019-12-01 14:45:05,30
"""it's a small world""",2019-12-01 14:50:07,30
"""it's a small world""",2019-12-01 14:55:04,35
"""it's a small world""",2019-12-01 15:05:06,35
"""it's a small world""",2019-12-01 15:15:05,40
"""it's a small world""",2019-12-01 15:20:08,35
"""it's a small world""",2019-12-01 15:25:05,35
"""it's a small world""",2019-12-01 15:30:08,40
"""it's a small world""",2019-12-01 15:35:05,40
"""it's a small world""",2019-12-01 15:40:07,30
"""it's a small world""",2019-12-01 15:45:04,30
"""it's a small world""",2019-12-01 15:50:10,35
"""it's a small world""",2019-12-01 15:55:05,35
"""it's a small world""",2019-12-01 16:00:12,30
"""it's a small world""",2019-12-01 16:05:07,25
"""it's a small world""",2019-12-01 16:10:07,20
"""it's a small world""",2019-12-01 16:15:05,30
"""it's a small world""",2019-12-01 16:20:08,15
"""it's a small world""",2019-12-01 16:25:04,25
"""it's a small world""",2019-12-01 16:30:07,25
"""it's a small world""",2019-12-01 16:35:06,25
"""it's a small world""",2019-12-01 16:40:04,20
"""it's a small world""",2019-12-01 16:45:05,25
"""it's a small world""",2019-12-01 16:50:07,30
"""it's a small world""",2019-12-01 16:55:06,30
"""it's a small world""",2019-12-01 17:00:08,25
"""it's a small world""",2019-12-01 17:05:07,25
"""it's a small world""",2019-12-01 17:10:05,15
"""it's a small world""",2019-12-01 17:15:06,20
"""it's a small world""",2019-12-01 17:20:09,15
"""it's a small world""",2019-12-01 17:25:06,15
"""it's a small world""",2019-12-01 17:30:07,20
"""it's a small world""",2019-12-01 17:35:05,25
"""it's a small world""",2019-12-01 17:40:07,25
"""it's a small world""",2019-12-01 17:45:07,25
"""it's a small world""",2019-12-01 17:50:07,30
"""it's a small world""",2019-12-01 17:55:05,25
"""it's a small world""",2019-12-01 18:00:06,25
"""it's a small world""",2019-12-01 18:05:09,30
"""it's a small world""",2019-12-01 18:10:06,25
"""it's a small world""",2019-12-01 18:15:09,15
"""it's a small world""",2019-12-01 18:20:05,10
"""it's a small world""",2019-12-01 18:25:07,10
"""it's a small world""",2019-12-01 18:30:06,10
"""it's a small world""",2019-12-01 18:35:05,20
"""it's a small world""",2019-12-01 18:40:06,15
"""it's a small world""",2019-12-01 18:45:05,15
"""it's a small world""",2019-12-01 18:50:08,15
"""it's a small world""",2019-12-01 18:55:04,15
"""it's a small world""",2019-12-01 19:00:06,15
"""it's a small world""",2019-12-01 19:05:07,15
"""it's a small world""",2019-12-01 19:10:06,15
"""it's a small world""",2019-12-01 19:15:06,10
"""it's a small world""",2019-12-01 19:20:04,15
"""it's a small world""",2019-12-01 19:25:05,10
"""it's a small world""",2019-12-01 19:30:10,15
"""it's a small world""",2019-12-01 19:35:04,15
"""it's a small world""",2019-12-01 19:40:07,10
"""it's a small world""",2019-12-01 19:45:04,15
"""it's a small world""",2019-12-01 19:50:06,15
"""it's a small world""",2019-12-01 19:55:04,15
"""it's a small world""",2019-12-01 20:00:08,15
"""it's a small world""",2019-12-01 20:05:06,15
"""it's a small world""",2019-12-01 20:10:06,15
"""it's a small world""",2019-12-01 20:15:07,10
"""it's a small world""",2019-12-01 20:20:05,10
"""it's a small world""",2019-12-01 20:25:08,10
"""it's a small world""",2019-12-01 20:30:06,10
"""it's a small world""",2019-12-01 20:35:08,10
"""it's a small world""",2019-12-01 20:40:06,10
"""it's a small world""",2019-12-01 20:45:06,10
"""it's a small world""",2019-12-01 20:50:05,10
"""it's a small world""",2019-12-01 20:55:05,10
