Ride,Date/Time,Wait Time
Haunted Mansion,2019-01-28 09:08:53,10
Haunted Mansion,2019-01-28 09:32:35,10
Haunted Mansion,2019-01-28 09:53:02,10
Haunted Mansion,2019-01-28 10:21:06,35
Haunted Mansion,2019-01-28 10:42:38,30
Haunted Mansion,2019-01-28 10:55:43,40
Haunted Mansion,2019-01-28 11:12:30,40
Haunted Mansion,2019-01-28 11:34:22,60
Haunted Mansion,2019-01-28 11:44:48,50
Haunted Mansion,2019-01-28 11:57:45,50
Haunted Mansion,2019-01-28 12:13:41,60
Haunted Mansion,2019-01-28 12:31:18,50
Haunted Mansion,2019-01-28 12:38:03,50
Haunted Mansion,2019-01-28 12:47:02,45
Haunted Mansion,2019-01-28 12:48:02,40
Haunted Mansion,2019-01-28 12:49:03,40
Haunted Mansion,2019-01-28 12:50:03,40
Haunted Mansion,2019-01-28 13:00:03,55
Haunted Mansion,2019-01-28 13:04:11,55
Haunted Mansion,2019-01-28 13:10:02,75
Haunted Mansion,2019-01-28 13:20:02,75
Haunted Mansion,2019-01-28 13:30:02,75
Haunted Mansion,2019-01-28 13:40:02,75
Haunted Mansion,2019-01-28 13:50:02,65
Haunted Mansion,2019-01-28 14:00:02,60
Haunted Mansion,2019-01-28 14:10:02,60
Haunted Mansion,2019-01-28 14:20:02,60
Haunted Mansion,2019-01-28 14:30:02,60
Haunted Mansion,2019-01-28 14:40:03,60
Haunted Mansion,2019-01-28 14:50:02,60
Haunted Mansion,2019-01-28 15:00:02,55
Haunted Mansion,2019-01-28 15:10:02,60
Haunted Mansion,2019-01-28 15:20:02,55
Haunted Mansion,2019-01-28 15:30:02,35
Haunted Mansion,2019-01-28 15:40:02,55
Haunted Mansion,2019-01-28 15:50:02,65
Haunted Mansion,2019-01-28 16:00:03,55
Haunted Mansion,2019-01-28 16:10:02,60
Haunted Mansion,2019-01-28 16:20:02,50
Haunted Mansion,2019-01-28 16:30:02,65
Haunted Mansion,2019-01-28 16:40:02,55
Haunted Mansion,2019-01-28 16:50:02,45
Haunted Mansion,2019-01-28 17:00:02,65
Haunted Mansion,2019-01-28 17:10:02,60
Haunted Mansion,2019-01-28 17:20:02,50
Haunted Mansion,2019-01-28 17:30:02,50
Haunted Mansion,2019-01-28 17:40:02,45
Haunted Mansion,2019-01-28 17:50:02,40
Haunted Mansion,2019-01-28 18:00:02,35
Haunted Mansion,2019-01-28 18:10:02,35
Haunted Mansion,2019-01-28 18:20:02,30
Haunted Mansion,2019-01-28 18:30:02,30
Haunted Mansion,2019-01-28 18:40:02,50
Haunted Mansion,2019-01-28 18:50:02,30
Haunted Mansion,2019-01-28 19:00:02,35
Haunted Mansion,2019-01-28 19:10:02,35
Haunted Mansion,2019-01-28 19:20:02,25
Haunted Mansion,2019-01-28 19:30:02,25
Haunted Mansion,2019-01-28 19:40:02,20
Haunted Mansion,2019-01-28 19:50:02,10
Haunted Mansion,2019-01-28 20:00:02,10
Haunted Mansion,2019-01-28 20:10:02,10
Haunted Mansion,2019-01-28 20:20:02,10
Haunted Mansion,2019-01-28 20:30:02,10
Haunted Mansion,2019-01-28 20:40:01,10
Haunted Mansion,2019-01-28 20:50:02,10
Haunted Mansion,2019-01-28 21:00:02,10
Haunted Mansion,2019-01-28 21:10:02,10
Haunted Mansion,2019-01-28 21:20:02,10
Haunted Mansion,2019-01-28 21:30:02,10
Haunted Mansion,2019-01-28 21:40:02,10
Haunted Mansion,2019-01-28 21:50:02,10
Haunted Mansion,2019-01-28 22:00:02,10
Haunted Mansion,2019-01-28 22:10:02,10
