Ride,Date/Time,Wait Time
"Monsters, Inc. Laugh Floor",2019-05-01 10:05:02,5
"Monsters, Inc. Laugh Floor",2019-05-01 10:10:03,5
"Monsters, Inc. Laugh Floor",2019-05-01 10:15:03,5
"Monsters, Inc. Laugh Floor",2019-05-01 10:20:03,5
"Monsters, Inc. Laugh Floor",2019-05-01 10:25:02,5
"Monsters, Inc. Laugh Floor",2019-05-01 10:30:03,5
"Monsters, Inc. Laugh Floor",2019-05-01 10:35:03,15
"Monsters, Inc. Laugh Floor",2019-05-01 10:40:03,15
"Monsters, Inc. Laugh Floor",2019-05-01 10:45:03,30
"Monsters, Inc. Laugh Floor",2019-05-01 10:50:02,20
"Monsters, Inc. Laugh Floor",2019-05-01 10:55:02,20
"Monsters, Inc. Laugh Floor",2019-05-01 11:00:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 11:05:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 11:10:02,20
"Monsters, Inc. Laugh Floor",2019-05-01 11:15:02,20
"Monsters, Inc. Laugh Floor",2019-05-01 11:20:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 11:25:03,25
"Monsters, Inc. Laugh Floor",2019-05-01 11:30:02,20
"Monsters, Inc. Laugh Floor",2019-05-01 11:35:02,20
"Monsters, Inc. Laugh Floor",2019-05-01 11:40:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 11:45:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 11:50:02,20
"Monsters, Inc. Laugh Floor",2019-05-01 11:55:02,20
"Monsters, Inc. Laugh Floor",2019-05-01 12:00:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 12:05:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 12:10:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 12:15:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 12:20:02,20
"Monsters, Inc. Laugh Floor",2019-05-01 12:25:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 12:30:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 12:35:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 12:40:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 12:45:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 12:50:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 12:55:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 13:00:03,15
"Monsters, Inc. Laugh Floor",2019-05-01 13:05:02,15
"Monsters, Inc. Laugh Floor",2019-05-01 13:10:03,15
"Monsters, Inc. Laugh Floor",2019-05-01 13:15:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 13:20:03,15
"Monsters, Inc. Laugh Floor",2019-05-01 13:25:02,15
"Monsters, Inc. Laugh Floor",2019-05-01 13:30:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 13:35:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 13:40:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 13:45:03,25
"Monsters, Inc. Laugh Floor",2019-05-01 13:50:03,20
"Monsters, Inc. Laugh Floor",2019-05-01 13:55:03,25
"Monsters, Inc. Laugh Floor",2019-05-01 14:00:03,25
