Ride,Date/Time,Wait Time
Tomorrowland Speedway,2019-05-18 07:20:02,5
Tomorrowland Speedway,2019-05-18 07:25:02,5
Tomorrowland Speedway,2019-05-18 07:30:01,5
Tomorrowland Speedway,2019-05-18 07:35:02,5
Tomorrowland Speedway,2019-05-18 07:40:01,5
Tomorrowland Speedway,2019-05-18 07:45:02,5
Tomorrowland Speedway,2019-05-18 07:50:01,5
Tomorrowland Speedway,2019-05-18 07:55:01,5
Tomorrowland Speedway,2019-05-18 08:00:01,5
Tomorrowland Speedway,2019-05-18 08:05:01,5
Tomorrowland Speedway,2019-05-18 08:10:02,5
Tomorrowland Speedway,2019-05-18 08:15:02,5
Tomorrowland Speedway,2019-05-18 08:20:01,5
Tomorrowland Speedway,2019-05-18 08:25:01,5
Tomorrowland Speedway,2019-05-18 08:30:02,5
Tomorrowland Speedway,2019-05-18 08:35:01,5
Tomorrowland Speedway,2019-05-18 08:40:02,5
Tomorrowland Speedway,2019-05-18 08:45:01,5
Tomorrowland Speedway,2019-05-18 08:50:02,5
Tomorrowland Speedway,2019-05-18 08:55:02,20
Tomorrowland Speedway,2019-05-18 09:00:01,20
Tomorrowland Speedway,2019-05-18 09:05:02,20
Tomorrowland Speedway,2019-05-18 09:10:02,20
Tomorrowland Speedway,2019-05-18 09:15:01,20
Tomorrowland Speedway,2019-05-18 09:20:01,20
Tomorrowland Speedway,2019-05-18 09:25:01,20
Tomorrowland Speedway,2019-05-18 09:30:01,20
Tomorrowland Speedway,2019-05-18 09:35:02,20
Tomorrowland Speedway,2019-05-18 09:40:02,20
Tomorrowland Speedway,2019-05-18 09:45:01,20
Tomorrowland Speedway,2019-05-18 09:50:02,20
Tomorrowland Speedway,2019-05-18 09:55:02,20
Tomorrowland Speedway,2019-05-18 10:00:01,20
Tomorrowland Speedway,2019-05-18 10:05:02,20
Tomorrowland Speedway,2019-05-18 10:10:02,20
Tomorrowland Speedway,2019-05-18 10:15:02,20
Tomorrowland Speedway,2019-05-18 10:20:02,20
Tomorrowland Speedway,2019-05-18 10:25:02,20
Tomorrowland Speedway,2019-05-18 10:30:02,20
Tomorrowland Speedway,2019-05-18 10:35:01,20
Tomorrowland Speedway,2019-05-18 10:40:02,20
Tomorrowland Speedway,2019-05-18 10:45:01,20
Tomorrowland Speedway,2019-05-18 10:50:01,30
Tomorrowland Speedway,2019-05-18 10:55:01,30
Tomorrowland Speedway,2019-05-18 11:00:02,30
Tomorrowland Speedway,2019-05-18 11:05:02,30
Tomorrowland Speedway,2019-05-18 11:10:01,30
Tomorrowland Speedway,2019-05-18 11:15:02,30
Tomorrowland Speedway,2019-05-18 11:20:01,20
Tomorrowland Speedway,2019-05-18 11:25:01,20
Tomorrowland Speedway,2019-05-18 11:30:02,20
Tomorrowland Speedway,2019-05-18 11:35:01,20
Tomorrowland Speedway,2019-05-18 11:40:02,20
Tomorrowland Speedway,2019-05-18 11:45:02,20
Tomorrowland Speedway,2019-05-18 11:50:01,20
Tomorrowland Speedway,2019-05-18 11:55:01,35
Tomorrowland Speedway,2019-05-18 12:00:02,35
Tomorrowland Speedway,2019-05-18 12:05:02,35
Tomorrowland Speedway,2019-05-18 12:10:02,35
Tomorrowland Speedway,2019-05-18 12:15:02,35
Tomorrowland Speedway,2019-05-18 12:20:01,35
Tomorrowland Speedway,2019-05-18 12:25:02,35
Tomorrowland Speedway,2019-05-18 12:30:02,35
Tomorrowland Speedway,2019-05-18 12:35:02,35
Tomorrowland Speedway,2019-05-18 12:40:01,35
Tomorrowland Speedway,2019-05-18 12:45:02,35
Tomorrowland Speedway,2019-05-18 12:50:02,35
Tomorrowland Speedway,2019-05-18 12:55:01,35
Tomorrowland Speedway,2019-05-18 13:00:01,35
Tomorrowland Speedway,2019-05-18 13:05:02,35
Tomorrowland Speedway,2019-05-18 13:10:02,45
Tomorrowland Speedway,2019-05-18 13:15:02,45
Tomorrowland Speedway,2019-05-18 13:20:01,45
Tomorrowland Speedway,2019-05-18 13:25:01,45
Tomorrowland Speedway,2019-05-18 13:30:02,45
Tomorrowland Speedway,2019-05-18 13:35:02,45
Tomorrowland Speedway,2019-05-18 13:40:02,45
Tomorrowland Speedway,2019-05-18 13:45:02,45
Tomorrowland Speedway,2019-05-18 13:50:02,45
Tomorrowland Speedway,2019-05-18 13:55:02,45
Tomorrowland Speedway,2019-05-18 14:00:02,45
Tomorrowland Speedway,2019-05-18 14:05:01,45
Tomorrowland Speedway,2019-05-18 14:10:01,45
Tomorrowland Speedway,2019-05-18 14:15:01,45
Tomorrowland Speedway,2019-05-18 14:20:02,45
Tomorrowland Speedway,2019-05-18 14:25:01,45
Tomorrowland Speedway,2019-05-18 14:30:02,45
Tomorrowland Speedway,2019-05-18 14:35:01,45
Tomorrowland Speedway,2019-05-18 14:40:02,45
Tomorrowland Speedway,2019-05-18 14:45:02,45
Tomorrowland Speedway,2019-05-18 14:50:02,45
Tomorrowland Speedway,2019-05-18 14:55:01,45
Tomorrowland Speedway,2019-05-18 15:00:02,45
Tomorrowland Speedway,2019-05-18 15:05:01,45
Tomorrowland Speedway,2019-05-18 15:10:02,45
Tomorrowland Speedway,2019-05-18 15:15:02,45
Tomorrowland Speedway,2019-05-18 15:20:01,20
Tomorrowland Speedway,2019-05-18 15:25:01,20
