Ride,Date/Time,Wait Time
Tomorrowland Transit Authority PeopleMover,2019-10-01 07:05:08,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 07:10:04,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 07:15:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 07:20:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 07:25:07,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 07:30:06,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 07:35:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 07:40:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 07:45:08,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 07:50:04,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 07:55:07,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 08:00:07,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 08:05:04,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 08:10:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 08:15:06,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 08:20:06,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 08:25:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 08:30:10,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 08:35:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 08:40:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 08:45:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 08:50:06,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 08:55:04,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 09:00:06,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 09:05:09,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 09:10:04,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 09:15:04,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 09:20:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 09:25:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 09:30:06,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 09:35:04,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 09:40:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 09:45:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 09:50:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 09:55:04,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 10:00:09,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 10:05:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 10:10:06,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 10:15:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 10:20:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 10:25:06,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 10:35:06,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 10:40:06,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 10:45:07,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 10:50:08,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 10:55:04,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 11:00:06,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 11:05:11,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 11:10:06,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 11:15:05,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 11:20:06,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 11:25:04,5
Tomorrowland Transit Authority PeopleMover,2019-10-01 11:30:05,5
