code,name,short_name,land,opened_on,duration,average_wait_per_hundred
AK07,Kilimanjaro Safaris,Kilimanjaro Safaris,Africa,04/22/1998,20,4
AK11,Expedition Everest - Legend of the Forbidden Mount,Expedition Everest,Asia,04/07/2006,4,4
AK18,DINOSAUR,DINOSAUR,DinoLand U.S.A.,04/22/1998,4,3
AK85,Na'vi River Journey,Na'vi River,Pandora - The World of Avatar,05/27/2017,5,5
AK86,Avatar Flight of Passage,Flight of Passage,Pandora - The World of Avatar,05/27/2017,6,4
CA03,"Monsters, Inc. Mike & Sulley to the Rescue!","Monsters, Inc.",Hollywood Land,01/23/2006,5,4
CA06,The Twilight Zone Tower of Terror,Tower of Terror,Hollywood Land,05/05/2004,6,4
CA09,Soarin' Around the World,Soarin',Grizzly Peak,02/08/2001,5,
CA109,Radiator Springs Racers,Radiator Racers,Cars Land,06/15/2012,6,4
CA110,Mater's Junkyard Jamboree,Mater's Jamboree,Cars Land,06/15/2012,2,10
CA12,Grizzly River Run,Grizzly River Run,Grizzly Peak,02/08/2001,7,5
CA120,Radiator Springs Racers Single Rider Line,Radiator Racers Single Rider,Cars Land,06/15/2012,,
CA148,Luigi's Rollickin' Roadsters,Luigi's Roadsters,Cars Land,03/07/2016,1,
CA19,California Screamin',California Screamin',Paradise Pier,02/08/2001,4,
CA28,Pixar Pal-A-Round - Swinging,Pixar Pal-A-Round - Swing,Pixar Pier,05/04/2009,9,
CA30,Toy Story Midway Mania!,Toy Story Mania!,Pixar Pier,06/17/2008,8,5
CA39,Pixar Pal-A-Round - Non Swinging,Pixar Pal-A-Round - No Swing,Pixar Pier,05/04/2009,9,
CA67,Goofy's Sky School,Goofy's Sky School,Paradise Gardens Park,04/20/2011,2,
CA68,The Little Mermaid ~ Ariel's Undersea Adventure,Little Mermaid,Paradise Gardens Park,06/03/2011,7,3
DL01,Alice in Wonderland,Alice in Wonderland,Fantasyland,06/14/1958,4,12
DL02,Astro Orbitor,Astro Orbitor,Tomorrowland,05/24/1998,2,13
DL03,Autopia,Autopia,Tomorrowland,07/17/1955,5,6
DL05,Big Thunder Mountain Railroad,Big Thunder Mtn,Frontierland,09/15/1979,4,3
DL07,Buzz Lightyear Astro Blasters,Buzz Lightyear,Tomorrowland,05/04/2005,5,3
DL10,Chip 'n Dale Treehouse,Chip 'n Dale Tree,Mickey's Toontown,01/23/1993,10,
DL12,The Royal Hall,Royal Hall,Fantasyland,03/12/2013,5,
DL16,Dumbo the Flying Elephant,Dumbo,Fantasyland,08/16/1955,2,12
DL17,Enchanted Tiki Room,Enchanted Tiki Rm,Adventureland,07/23/1963,15,
DL18,Finding Nemo Submarine Voyage,Finding Nemo Subs,Tomorrowland,06/11/2007,13,8
DL20,Gadget's Go Coaster,Gadget's Go Coaster,Mickey's Toontown,01/24/1993,1,10
DL24,Indiana Jones Adventure,Indiana Jones Adv,Adventureland,03/03/1995,10,3
DL27,it's a small world,it's a small world,Fantasyland,05/28/1966,14,3
DL28,Jungle Cruise,Jungle Cruise,Adventureland,07/17/1955,8,4
DL33,Matterhorn Bobsleds,Matterhorn,Fantasyland,06/14/1959,4,13
DL34,Mickey's House and Meet Mickey,Mickey's House,Mickey's Toontown,01/23/1993,5,20
DL35,Minnie's House,Minnie's House,Mickey's Toontown,01/23/1993,5,12
